draw,Phenotype,logic,dose
36,Slow,C24_ceiling,750
36,Intermediate,AUC_match,1350
36,Intermediate,C24_match,1250
36,Intermediate,C24_ceiling,1800
36,Rapid,AUC_match,1650
36,Rapid,C24_match,1800
36,Rapid,C24_ceiling,1800
37,Slow,AUC_match,650
37,Slow,C24_match,200
37,Slow,C24_ceiling,400
37,Intermediate,AUC_match,1250
37,Intermediate,C24_match,1000
37,Intermediate,C24_ceiling,1800
37,Rapid,AUC_match,1800
37,Rapid,C24_match,1800
37,Rapid,C24_ceiling,1800
38,Slow,AUC_match,600
38,Slow,C24_match,200
38,Slow,C24_ceiling,250
38,Intermediate,AUC_match,1200
38,Intermediate,C24_match,650
38,Intermediate,C24_ceiling,1800
38,Rapid,AUC_match,1700
38,Rapid,C24_match,1700
38,Rapid,C24_ceiling,1800
39,Slow,AUC_match,600
39,Slow,C24_match,200
39,Slow,C24_ceiling,300
39,Intermediate,AUC_match,1350
39,Intermediate,C24_match,1200
39,Intermediate,C24_ceiling,1800
39,Rapid,AUC_match,1250
39,Rapid,C24_match,950
39,Rapid,C24_ceiling,1800
40,Slow,AUC_match,600
40,Slow,C24_match,200
40,Slow,C24_ceiling,400
40,Intermediate,AUC_match,1150
40,Intermediate,C24_match,1800
40,Intermediate,C24_ceiling,1800
40,Rapid,AUC_match,1250
40,Rapid,C24_match,1800
40,Rapid,C24_ceiling,1800
41,Slow,AUC_match,700
41,Slow,C24_match,200
41,Slow,C24_ceiling,600
41,Intermediate,AUC_match,1250
41,Intermediate,C24_match,1800
41,Intermediate,C24_ceiling,1800
41,Rapid,AUC_match,750
41,Rapid,C24_match,200
41,Rapid,C24_ceiling,650
42,Slow,AUC_match,600
42,Slow,C24_match,200
42,Slow,C24_ceiling,250
42,Intermediate,AUC_match,1150
42,Intermediate,C24_match,600
42,Intermediate,C24_ceiling,1800
42,Rapid,AUC_match,1800
42,Rapid,C24_match,1800
42,Rapid,C24_ceiling,1800
43,Slow,AUC_match,900
43,Slow,C24_match,850
43,Slow,C24_ceiling,1800
43,Intermediate,AUC_match,1250
43,Intermediate,C24_match,1800
43,Intermediate,C24_ceiling,1800
43,Rapid,AUC_match,1800
43,Rapid,C24_match,1800
43,Rapid,C24_ceiling,1800
44,Slow,AUC_match,550
44,Slow,C24_match,200
44,Slow,C24_ceiling,200
44,Intermediate,AUC_match,1200
44,Intermediate,C24_match,750
44,Intermediate,C24_ceiling,1800
44,Rapid,AUC_match,1800
44,Rapid,C24_match,1800
44,Rapid,C24_ceiling,1800
45,Slow,AUC_match,550
45,Slow,C24_match,200
45,Slow,C24_ceiling,200
45,Intermediate,AUC_match,1100
45,Intermediate,C24_match,500
45,Intermediate,C24_ceiling,1800
45,Rapid,AUC_match,1300
45,Rapid,C24_match,800
45,Rapid,C24_ceiling,1800
46,Slow,AUC_match,700
46,Slow,C24_match,200
46,Slow,C24_ceiling,600
46,Intermediate,AUC_match,1300
46,Intermediate,C24_match,1800
46,Intermediate,C24_ceiling,1800
46,Rapid,AUC_match,1800
46,Rapid,C24_match,1800
46,Rapid,C24_ceiling,1800
47,Slow,AUC_match,500
47,Slow,C24_match,200
47,Slow,C24_ceiling,200
47,Intermediate,AUC_match,1100
47,Intermediate,C24_match,700
47,Intermediate,C24_ceiling,1800
47,Rapid,AUC_match,1650
47,Rapid,C24_match,1800
47,Rapid,C24_ceiling,1800
