Phenotype,Dose_mg,AUC_med,AUC_q1,AUC_q3,C24_med,C24_q1,C24_q3,pct_in_auc_target,pct_in_c24_target,pct_in_dual_target,pct_supra
Intermediate,850,37.11071638565741,23.169601393786266,51.1310468284564,0.03788908031136763,0.011597823581370435,0.1144688063509753,51.65,8.7,6.0,17.549999999999997
Intermediate,900,39.29369970246079,24.532519122832518,54.13875546542442,0.040117849741448074,0.012280048497921638,0.12120226554809149,44.15,13.850000000000001,6.0,20.1
Intermediate,950,41.47668301926416,25.895436851878767,57.14646410239244,0.04234661917152853,0.012962273414472838,0.12793572474520767,49.15,11.55,8.7,22.25
Intermediate,1000,43.65966633606754,27.258354580925015,60.15417273936047,0.04457538860160897,0.01364449833102404,0.13466918394232386,46.0,13.700000000000001,10.85,22.25
Intermediate,1050,45.84264965287092,28.62127230997127,63.16188137632849,0.04680415803168943,0.014326723247575243,0.14140264313944007,46.550000000000004,13.700000000000001,10.85,22.25
Intermediate,1100,48.0256329696743,29.984190039017523,66.16959001329651,0.04903292746176987,0.015008948164126444,0.14813610233655627,44.5,13.700000000000001,13.700000000000001,24.95
Intermediate,1150,50.20861628647767,31.347107768063772,69.17729865026453,0.051261696891850325,0.015691173080677644,0.15486956153367243,37.9,14.549999999999999,14.549999999999999,26.950000000000003
Intermediate,1200,52.391599603281044,32.71002549711002,72.18500728723257,0.05349046632193077,0.016373397997228846,0.16160302073078864,38.4,12.55,12.55,26.950000000000003
Intermediate,1250,54.574582920084424,34.07294322615627,75.19271592420058,0.05571923575201122,0.01705562291378005,0.16833647992790485,32.2,12.55,12.55,26.950000000000003
Intermediate,1300,56.75756623688781,35.43586095520252,78.20042456116862,0.05794800518209167,0.017737847830331256,0.17506993912502106,32.2,12.55,12.55,26.950000000000003
Intermediate,1350,58.940549553691184,36.79877868424878,81.20813319813664,0.06017677461217212,0.018420072746882454,0.18180339832213724,35.15,9.85,9.85,29.2
Intermediate,1400,61.12353287049456,38.161696413295026,84.21584183510465,0.06240554404225257,0.01910229766343366,0.18853685751925342,37.3,9.85,9.85,29.2
Intermediate,1450,63.30651618729793,39.52461414234128,87.22355047207269,0.06463431347233302,0.01978452257998486,0.1952703167163696,35.099999999999994,9.85,9.85,29.2
Intermediate,1500,65.4894995041013,40.88753187138753,90.23125910904069,0.06686308290241347,0.02046674749653606,0.2020037759134858,32.800000000000004,9.85,9.85,29.2
Intermediate,1550,67.67248282090469,42.250449600433775,93.23896774600871,0.0690918523324939,0.02114897241308726,0.208737235110602,30.5,4.7,4.7,29.2
Intermediate,1600,69.85546613770806,43.61336732948003,96.24667638297674,0.07132062176257435,0.021831197329638462,0.21547069430771817,30.5,7.000000000000001,7.000000000000001,36.95
Intermediate,1650,72.03844945451144,44.97628505852627,99.25438501994476,0.07354939119265481,0.022513422246189664,0.22220415350483436,30.5,7.000000000000001,7.000000000000001,36.95
Intermediate,1700,74.22143277131482,46.33920278757253,102.2620936569128,0.07577816062273526,0.02319564716274087,0.2289376127019506,30.25,9.45,9.45,36.95
Intermediate,1750,76.4044160881182,47.702120516618784,105.26980229388083,0.07800693005281571,0.023877872079292074,0.23567107189906678,28.549999999999997,7.3,7.3,39.800000000000004
Intermediate,1800,78.58739940492158,49.065038245665036,108.27751093084883,0.08023569948289615,0.024560096995843276,0.24240453109618298,28.549999999999997,7.3,7.3,39.800000000000004
Rapid,200,4.032026062883731,2.648950289126177,6.278906432531716,0.0012637218331193296,0.0005065016308083939,0.003468289843118125,0.0,0.0,0.0,0.0
Rapid,250,5.040032578604663,3.311187861407721,7.848633040664645,0.001579652291399162,0.0006331270385104925,0.004335362303897657,0.0,0.0,0.0,0.0
Rapid,300,6.0480390943255955,3.9734254336892656,9.418359648797574,0.001895582749678994,0.000759752446212591,0.005202434764677188,0.0,6.5,0.0,0.0
Rapid,350,7.056045610046529,4.635663005970811,10.988086256930504,0.002211513207958827,0.0008863778539146897,0.00606950722545672,0.0,6.5,0.0,0.0
Rapid,400,8.064052125767462,5.297900578252354,12.557812865063433,0.002527443666238659,0.0010130032616167879,0.00693657968623625,0.0,12.4,0.0,0.0
Rapid,450,9.072058641488395,5.960138150533899,14.127539473196363,0.0028433741245184915,0.0011396286693188865,0.007803652147015783,0.0,12.4,0.0,0.0
Rapid,500,10.080065157209326,6.622375722815442,15.69726608132929,0.003159304582798324,0.001266254077020985,0.008670724607795314,0.0,5.8999999999999995,0.0,0.0
Rapid,550,11.08807167293026,7.284613295096987,17.26699268946222,0.003475235041078156,0.0013928794847230836,0.009537797068574846,6.5,5.8999999999999995,0.0,0.0
Rapid,600,12.096078188651191,7.946850867378531,18.83671929759515,0.003791165499357988,0.001519504892425182,0.010404869529354375,6.5,12.1,0.0,0.0
Rapid,650,13.104084704372127,8.609088439660077,20.40644590572808,0.004107095957637821,0.0016461303001272809,0.01127194199013391,6.5,18.3,0.0,0.0
Rapid,700,14.112091220093058,9.271326011941621,21.97617251386101,0.004423026415917654,0.0017727557078293793,0.01213901445091344,6.5,18.55,0.0,0.0
Rapid,750,15.120097735813992,9.933563584223165,23.545899121993937,0.004738956874197486,0.0018993811155314777,0.013006086911692971,18.6,24.75,6.2,0.0
Rapid,800,16.128104251534925,10.595801156504708,25.115625730126865,0.005054887332477318,0.0020260065232335757,0.0138731593724725,30.95,24.75,18.55,0.0
